"","Feature","Category","MeanDecreaseGini"
"1","woe.item_cat","",2665.58674273513
"2","missing_delivery","",2249.25779583802
"3","TS","",2237.40308036464
"4","shipment_time","",2196.87726380975
"5","days_since_reg","",2133.32011894382
"6","item_price","",2033.03044171449
"7","item_order_total","",2030.94144211888
"8","ord_md","",1884.87102621236
"9","del_md","",1819.97269637836
"10","woe.item_size","",1801.74630335397
"11","woe.brand_cat","",1786.71162467848
"12","woe.item_color","",1753.48036369712
"13","user_order_total","",1706.94597894484
"14","woe.user_state","",1628.09965819439
"15","woe.age","",1384.36417834842
"16","woe.ord_wd","",1213.4348071448
"17","woe.del_wd","",1183.94094066908
"18","woe.del_mon","",1078.75495892941
"19","woe.ord_mon","",1024.32031181788
"20","basket_size","",987.567267592453
"21","discount","",767.10516250536
"22","item_size_dups","",558.857962492698
"23","brand_cat_dups","",358.587145271224
"24","item_color_dups","",343.329084016814
"25","item_cat_dups","",254.231718973017
"26","woe.user_title","",146.434940313341
